name,longitude,latitude
Fira,2.1306789999999998,41.3519228
Europa | Fira,2.1256902,41.3572488
Can Tries - Gornal,2.1181989,41.3607212
Palau Reial,2.1178553,41.3858079
Sants Estació,2.141114,41.3814691
el Poble-sec,2.1605721,41.3749795
Trinitat Nova,2.1841624,41.4494828
Lesseps,2.1500337,41.4061724
Sant Roc,2.2278605,41.4353172
Monumental,2.1794545,41.4005241
La Pau,2.205618,41.4240389
Encants,2.1825232,41.4070747
Verneda,2.2097745,41.4298896
Magòria - la Campana,2.1393675,41.3678579
Ildefons Cerdà,2.1301693,41.361165
Gornal,2.1170729,41.3547752
Avinguda Carrilet,2.1029121,41.3579267
Bac de Roda,2.1951059,41.4148814
Santa Coloma,2.2079477,41.4510253
Urquinaona,2.1733108,41.3880852
Jaume I,2.1787061,41.3840008
Barceloneta,2.1854822,41.3821171
Ciutadella | Vila Olímpica,2.1929661,41.3866815
Bogatell,2.1920399,41.3950987
Llacuna,2.197649,41.3993809
Poblenou,2.2032751,41.4036418
Selva de Mar,2.2091094,41.4080147
El Maresme | Fòrum,2.2166779,41.4117753
Besòs,2.2097125,41.4203693
Besòs Mar,2.2160851,41.4150936
Sant Martí,2.2007307,41.4190565
el Clot,2.1869158,41.4101394
Tetuan,2.1755212999999998,41.3948216
Urquinaona,2.1745608,41.3896372
Sants Estació,2.1403214999999998,41.3798895
Plaça Molina,2.1474414,41.4013354
Pàdua,2.1430732,41.403344
el Putxet,2.1391359,41.4058141
Avinguda Tibidabo,2.1371569,41.4096598
Sant Ildefons,2.0843303,41.3633432
Can Vidalet,2.0997596,41.3717369
Via Júlia,2.1786043,41.4438467
Trinitat Nova,2.182427,41.449185
Casa de l'Aigua,2.1848915,41.4512669
Torre Baró | Vallbona,2.1799449,41.4592177
Can Cuiàs,2.1728664,41.4625511
Ciutat Meridiana,2.1745668,41.4609185
el Carmel,2.1549579,41.4256037
Maragall,2.1773979,41.4231064
Sant Pau | Dos de Maig,2.175983,41.4107312
Sant Gervasi,2.1470799,41.4010671
les Tres Torres,2.1311837,41.3976108
la Bonanova,2.1361547,41.3977857
Santa Rosa,2.2158135,41.446842
Muntaner,2.1428749,41.3986188
Joanic,2.1631882,41.4062666
Guinardó | Hospital de Sant Pau,2.174074,41.4160751
Cornellà-Riera,2.0706597,41.3514715
Almeda,2.0845124,41.3530362
Alfons X,2.1655057,41.4121009
Urgell,2.1588888,41.3824863
Marina,2.1862681999999998,41.3949958
Glòries,2.1875183,41.4022111
Navas,2.1869379,41.4160445
Sant Andreu,2.1911382,41.4366293
Trinitat Vella,2.1937366,41.4487676
Paral·lel,2.1693908,41.3749142
Paral·lel,2.1693278,41.375133
Universitat,2.1640533,41.3848285
el Clot,2.1867259,41.4102828
La Pau,2.2051956,41.4236829
Trinitat Nova,2.182423,41.4492053
Zona Universitària,2.1116655,41.3841003
Verdaguer,2.1681937,41.399772
Vall d’Hebron | Sant Genís,2.1423965,41.4249128
Gorg,2.2337073,41.4405041
Europa | Fira,2.1251579,41.3571111
Diagonal,2.158857,41.3944431
Passeig de Gràcia (L2),2.1682772,41.3894431
Foc,2.1421622,41.3558512
Foneria,2.1386556,41.3604566
Provençana,2.1242931,41.3613875
Ciutat de la Justícia,2.1330085,41.3632435
Sant Boi,2.0429512,41.3484877
Ernest Lluch,2.1120352000000002,41.3758955
Mercat Nou,2.1333313,41.3727946
Plaça de Sants,2.1353228,41.37563
Torrassa,2.1156299,41.3680166
